iter	Logloss
252	0.5111082077
253	0.5110463726
254	0.5107689454
255	0.5104678515
256	0.5101602266
257	0.5099571809
258	0.5098211626
259	0.5095802233
260	0.5092099027
261	0.5089346988
262	0.5086907445
263	0.5084865254
264	0.5081939323
265	0.5079247667
266	0.5077505557
267	0.5075430315
268	0.5071762857
269	0.5069989772
270	0.5067097521
271	0.5064326422
272	0.506084265
273	0.5057618126
274	0.5055402071
275	0.5051780085
276	0.5051364162
277	0.5049041353
278	0.5047119999
279	0.5043781721
280	0.5040899028
281	0.5038509805
282	0.5035651258
283	0.5034484739
284	0.503303489
285	0.5029487969
286	0.5027108267
287	0.5023738488
288	0.5022643207
289	0.5017958238
290	0.5015980322
291	0.5012824827
292	0.5010995667
293	0.500999453
294	0.5007023904
295	0.5003199453
296	0.5000960638
297	0.4998533145
298	0.4996780161
299	0.4995132897
300	0.4992747005
301	0.499040399
302	0.4989648951
303	0.4987284204
304	0.4985484753
305	0.4980708592
306	0.4979628976
307	0.4977688906
308	0.4975155845
309	0.4973397104
310	0.497145077
311	0.4969040832
312	0.4965205654
313	0.496123834
314	0.496112838
315	0.4957487615
316	0.4957196626
317	0.4955609296
318	0.4951205139
319	0.4948266929
320	0.4946265084
321	0.4944505063
322	0.4941617956
323	0.4939522603
324	0.4937374071
325	0.4936351822
326	0.493539729
327	0.4935236161
328	0.4932233974
329	0.4929296699
330	0.4925866912
331	0.4923483861
332	0.4920031913
333	0.4916736202
334	0.491453038
335	0.491088848
336	0.4907291683
337	0.4905164154
338	0.4904973103
339	0.4903702414
340	0.4901226322
341	0.4898948538
342	0.4895240923
343	0.4892372936
344	0.489230548
345	0.4889112001
346	0.4885780587
347	0.4880372331
348	0.4876726818
349	0.4876659778
350	0.4874821734
351	0.4873686141
352	0.487072161
353	0.4868117685
354	0.4866563988
355	0.486351712
356	0.4860755279
357	0.4859639632
358	0.4858486499
359	0.4855920624
360	0.4853543909
361	0.4851799005
362	0.4851644412
363	0.4849454401
364	0.4846736159
365	0.4844697113
366	0.4841869631
367	0.4840618158
368	0.4837953275
369	0.4835615529
370	0.4833974528
371	0.4831593001
372	0.4829518371
373	0.4828129192
374	0.4826357179
375	0.4823751173
376	0.4819783035
377	0.4816921719
378	0.4814570068
379	0.4811813985
380	0.4808455144
381	0.4806665756
382	0.4804443881
383	0.4801436845
384	0.4797808367
385	0.4794972435
386	0.4792479027
387	0.478965839
388	0.4786127165
389	0.4783287267
390	0.4780005758
391	0.4778476502
392	0.4775669984
393	0.4773617804
394	0.4769118757
395	0.4765932275
396	0.4763552259
397	0.4761171467
398	0.4757764874
399	0.4752745648
400	0.4749586497
401	0.4746195965
402	0.4744214803
403	0.4741204059
404	0.4740270042
405	0.4737364854
406	0.4735598418
407	0.4733102088
408	0.4730012898
409	0.4727279276
410	0.4723339458
411	0.4720538843
412	0.4717849708
413	0.4713853023
414	0.4710397198
415	0.4706623645
416	0.4701703955
417	0.4698820184
418	0.4695707366
419	0.4692042846
420	0.4686810297
421	0.4682984772
422	0.467972786
423	0.4678124032
424	0.4675306605
425	0.4672724165
426	0.4670915523
427	0.4667884263
428	0.4664700425
429	0.4661236823
430	0.4657860542
431	0.4655505204
432	0.4652560538
433	0.465020051
434	0.464764408
435	0.4645215279
436	0.4642108869
437	0.46401922
438	0.4636831005
439	0.4633445455
440	0.4631158291
441	0.4628463636
442	0.4625158516
443	0.4622312402
444	0.4619648837
445	0.4616907321
446	0.4613896871
447	0.4610286268
448	0.4607504409
449	0.4604561676
450	0.4601976677
451	0.4598252202
452	0.4596109655
453	0.4593758673
454	0.4590716871
455	0.4586831076
456	0.4583682379
457	0.4580901138
458	0.4577970776
459	0.4576886461
460	0.4573501874
461	0.4571397914
462	0.4567820951
463	0.456319101
464	0.4561263857
465	0.4559655423
466	0.4557204994
467	0.4555103819
468	0.4551744864
469	0.4548465574
470	0.4546111418
471	0.4542596189
472	0.4539245942
473	0.4536097358
474	0.4532665191
475	0.4530454915
476	0.4529383573
477	0.4525745121
478	0.4522379912
479	0.4520755048
480	0.4517583549
481	0.4514199636
482	0.4511371086
483	0.4508032734
484	0.4505287938
485	0.4501484018
486	0.4499713603
487	0.4497972631
488	0.449529035
489	0.4491958361
490	0.4490381457
491	0.44881984
492	0.448558445
493	0.4482917567
494	0.4480249416
495	0.4477579169
496	0.4474349193
497	0.447254066
498	0.4469340029
499	0.4466263368
500	0.4463559496
501	0.4461073501
502	0.4458067569
503	0.4455103135
504	0.4452900941
505	0.444996774
506	0.4446591653
507	0.4443986637
508	0.4440415869
509	0.4435825842
510	0.4433484179
511	0.4431692469
512	0.4429769789
513	0.4425480652
514	0.4421550412
515	0.4418499369
516	0.4416479509
517	0.4413958529
518	0.4410871187
519	0.4406529709
520	0.4404539319
521	0.4401920413
522	0.4398880908
523	0.4396865028
524	0.4395954464
525	0.4393101848
526	0.4390401273
527	0.438687154
528	0.4384305245
529	0.438182578
530	0.4378909836
531	0.4375660072
532	0.4372939447
533	0.4370977709
534	0.4368301713
535	0.4364171837
536	0.436062639
537	0.4358168532
538	0.4355599896
539	0.4353299257
540	0.4349982714
541	0.434709644
542	0.4343686318
543	0.4342653071
544	0.434039703
545	0.4338499945
546	0.433701649
547	0.433279945
548	0.4330234314
549	0.4328120765
550	0.4325409556
551	0.4322767144
552	0.432062934
553	0.4316202431
554	0.4313801314
555	0.4310712385
556	0.43079249
557	0.4306151179
558	0.4303681779
559	0.4300576221
560	0.4298168121
561	0.4295513118
562	0.4292910229
563	0.4289338664
564	0.4286104711
565	0.4283964803
566	0.4281158195
567	0.4278036087
568	0.4275552179
569	0.4271287353
570	0.4268170186
571	0.4266405655
572	0.4263113417
573	0.4260310534
574	0.4258624465
575	0.4256740987
576	0.4253636583
577	0.4250952524
578	0.4247339435
579	0.4244891288
580	0.424254775
581	0.4239554082
582	0.4238442593
583	0.4235831725
584	0.4234338799
585	0.4231506933
586	0.4229798416
587	0.4226065751
588	0.4224086122
589	0.4221595545
590	0.4219036584
591	0.4216282108
592	0.4213746814
593	0.4211757493
594	0.4209978287
595	0.4207831469
596	0.4205363493
597	0.4204086235
598	0.4201820627
599	0.4198625276
600	0.4196953655
601	0.4195373825
602	0.4192763054
603	0.419021245
604	0.4188075651
605	0.4185164467
606	0.4184100337
607	0.4181309453
608	0.4179056051
609	0.4176050422
610	0.4173230835
611	0.4171353956
612	0.4168911765
613	0.4166003336
614	0.4163012262
615	0.4159680938
616	0.4157253568
617	0.4154552711
618	0.4152998594
619	0.4151019105
620	0.4149265487
621	0.4146596887
622	0.4144546625
623	0.4141738968
624	0.4139696051
625	0.4137263717
626	0.4134545457
627	0.4130947756
628	0.412706035
629	0.4124547034
630	0.4122325847
631	0.4119714255
632	0.4118089346
633	0.4116166662
634	0.411460344
635	0.4112168088
636	0.4110283166
637	0.410818944
638	0.410720886
639	0.4105134687
640	0.4103773721
641	0.4101440507
642	0.4099448661
643	0.4096984754
644	0.4094148817
645	0.4091144908
646	0.4088746145
647	0.408610557
648	0.4083940773
649	0.4080232812
650	0.4078102874
651	0.4075379768
652	0.4072843132
653	0.407108137
654	0.4067880656
655	0.4065543022
656	0.406284019
657	0.4060613243
658	0.4058741886
659	0.4056923861
660	0.4055369226
661	0.405317622
662	0.4051201518
663	0.40481076
664	0.4046507436
665	0.4043158634
666	0.4040832316
667	0.4038954053
668	0.4035997371
669	0.403425899
670	0.4031931114
671	0.4029451677
672	0.4026928624
673	0.4024397879
674	0.4020567697
675	0.401814798
676	0.4016688976
677	0.401468259
678	0.4012592571
679	0.4011058281
680	0.4007353294
681	0.400359402
682	0.4001733763
683	0.3999521567
684	0.3996392357
685	0.39950774
686	0.3992769501
687	0.3990239271
688	0.3987862029
689	0.3987083682
690	0.3984643608
691	0.3982251482
692	0.3980178007
693	0.3977767701
694	0.3975924317
695	0.3972476863
696	0.3969513253
697	0.396770272
698	0.3965851508
699	0.3963476924
700	0.3960367254
701	0.3959183677
702	0.3957594971
703	0.3955176584
704	0.3953690098
705	0.3952134715
706	0.3949370022
707	0.3946993539
708	0.394400644
709	0.3941402655
710	0.3938325557
711	0.3935735394
712	0.3934255474
713	0.3932540012
714	0.3930813798
715	0.3928456805
716	0.3926764614
717	0.392408768
718	0.3921832271
719	0.3919934414
720	0.3918802697
721	0.3916057445
722	0.3913632068
723	0.3911957575
724	0.3909475806
725	0.3906214084
726	0.3904068296
727	0.3902117573
728	0.3900247211
729	0.3898129659
730	0.3896356742
731	0.3893365052
732	0.389204179
733	0.3890782261
734	0.388958261
735	0.38865153
736	0.38837968
737	0.3882407327
738	0.388102192
739	0.3877075893
740	0.3875532702
741	0.3873234608
742	0.3871945712
743	0.3869240651
744	0.3867402365
745	0.3866096838
746	0.3864119685
747	0.3861458297
748	0.3859610691
749	0.3858323565
750	0.3854694709
751	0.3853238665
752	0.3851284502
753	0.3849610058
754	0.3847262797
755	0.3845072679
756	0.3842884325
757	0.3841133612
758	0.3839334547
759	0.3837219164
760	0.3834779591
761	0.3833107489
762	0.3829626774
763	0.3827076242
764	0.3825837624
765	0.3824328932
766	0.3823156315
767	0.3821654408
768	0.3819551343
769	0.3817906003
770	0.3816394683
771	0.3813997106
772	0.3811635265
773	0.3809191036
774	0.3808040211
775	0.3805802457
776	0.3804024197
777	0.3803022426
778	0.3801934177
779	0.3800461304
780	0.3799245902
781	0.3797917504
782	0.3796453578
783	0.3795732133
784	0.3793613536
785	0.3792090955
786	0.3789307959
787	0.378785848
788	0.378616029
789	0.3784179235
790	0.3782268119
791	0.3780159065
792	0.377787471
793	0.377589869
794	0.3774098944
795	0.3772943173
796	0.3770995528
797	0.3769319628
798	0.3766676252
799	0.3764698184
800	0.37633583
801	0.3762574742
802	0.3759085435
803	0.3756427886
804	0.3754314293
805	0.3752576695
806	0.3750141246
807	0.3748477188
808	0.3747033562
809	0.3745288559
810	0.3743641763
811	0.3742637445
812	0.3740279985
813	0.3739008991
814	0.3737348265
815	0.3735788471
816	0.3733123778
817	0.3730872934
818	0.372902905
819	0.3727080858
820	0.3724196935
821	0.3721806858
822	0.371987703
823	0.3717826171
824	0.3715721635
825	0.3712698631
826	0.3711085573
827	0.3709431172
828	0.3708608302
829	0.3707207081
830	0.370615025
831	0.3704245229
832	0.3701737783
833	0.3699850931
834	0.3697505798
835	0.3696003857
836	0.3693846551
837	0.3691480249
838	0.3690022674
839	0.3687759346
840	0.3686395301
841	0.3683549213
842	0.3681604832
843	0.368041092
844	0.3678118114
845	0.3676346358
846	0.3674456665
847	0.3671658839
848	0.3669885241
849	0.3668863855
850	0.3666387184
851	0.3665324466
852	0.3662975734
853	0.3661657784
854	0.3658990559
855	0.3657425911
856	0.3655343239
857	0.3653939821
858	0.3651475647
859	0.3650424889
860	0.3648682248
861	0.3646918687
862	0.3645492467
863	0.3644125475
864	0.3642576633
865	0.3639335308
866	0.363687045
867	0.3635241235
868	0.363254557
869	0.3630596753
870	0.3628562627
871	0.3626480654
872	0.362456004
873	0.36236631
