iter	Passed	Remaining
398	66087	265179
399	66250	265003
400	66420	264854
401	66602	264752
402	66780	264635
403	66937	264435
404	67099	264254
405	67254	264049
406	67405	263824
407	67553	263591
408	67738	263502
409	67923	263411
410	68105	263307
411	68246	263046
412	68415	262895
413	68575	262706
414	68762	262621
415	68937	262493
416	69079	262236
417	69257	262119
418	69425	261960
419	69586	261779
420	69747	261594
421	69924	261470
422	70100	261345
423	70269	261189
424	70428	261000
425	70576	260769
426	70753	260644
427	70919	260479
428	71096	260354
429	71291	260297
430	71468	260171
431	71617	259946
432	71797	259832
433	71976	259713
434	72122	259474
435	72301	259355
436	72488	259266
437	72649	259083
438	72791	258834
439	72973	258724
440	73133	258537
441	73285	258321
442	73476	258245
443	73673	258188
444	73854	258075
445	74025	257925
446	74242	257938
447	74454	257931
448	74634	257812
449	74799	257641
450	74978	257521
451	75147	257365
452	75310	257186
453	75484	257047
454	75646	256864
455	75803	256669
456	75961	256472
457	76154	256398
458	76326	256251
459	76483	256052
460	76669	255954
461	76869	255897
462	77052	255787
463	77255	255742
464	77448	255664
465	77616	255500
466	77800	255392
467	77933	255114
468	78107	254975
469	78286	254847
470	78453	254681
471	78627	254540
472	78787	254353
473	78960	254204
474	79119	254016
475	79278	253825
476	79447	253664
477	79585	253407
478	79777	253322
479	79923	253090
480	80076	252880
481	80238	252702
482	80405	252535
483	80559	252331
484	80721	252149
485	80875	251944
486	81037	251766
487	81194	251569
488	81347	251362
489	81534	251259
490	81703	251101
491	81889	250994
492	82047	250801
493	82209	250623
494	82359	250405
495	82513	250201
496	82702	250104
497	82847	249872
498	83026	249745
499	83179	249539
500	83363	249425
501	83522	249236
502	83703	249114
503	83872	248955
504	84060	248852
505	84229	248692
506	84392	248515
507	84560	248355
508	84756	248274
509	84932	248137
510	85108	247996
511	85261	247789
512	85444	247671
513	85599	247471
514	85761	247293
515	85949	247187
516	86123	247041
517	86298	246901
518	86462	246725
519	86629	246559
520	86811	246437
521	86983	246285
522	87162	246154
523	87340	246020
524	87493	245814
525	87674	245689
526	87853	245555
527	88003	245343
528	88176	245195
529	88319	244960
530	88479	244777
531	88667	244667
532	88837	244512
533	88984	244291
534	89152	244127
535	89332	243996
536	89479	243777
537	89662	243654
538	89837	243511
539	89994	243318
540	90165	243163
541	90341	243021
542	90503	242843
543	90679	242702
544	90869	242595
545	91041	242442
546	91187	242220
547	91370	242099
548	91537	241933
549	91707	241775
550	91882	241628
551	92053	241474
552	92219	241304
553	92398	241170
554	92584	241052
555	92755	240897
556	92927	240743
557	93083	240547
558	93255	240396
559	93427	240242
560	93629	240166
561	93803	240016
562	93961	239827
563	94160	239742
564	94330	239583
565	94529	239496
566	94692	239320
567	94843	239113
568	95007	238936
569	95197	238829
570	95351	238629
571	95522	238472
572	95682	238287
573	95876	238188
574	96044	238023
575	96219	237875
576	96371	237671
577	96548	237529
578	96718	237370
579	96884	237200
580	97062	237060
581	97230	236894
582	97418	236779
583	97594	236632
584	97760	236463
585	97937	236319
586	98103	236149
587	98303	236061
588	98478	235914
589	98651	235760
590	98813	235581
591	98997	235453
592	99171	235302
593	99355	235174
594	99533	235033
595	99714	234898
596	99883	234734
597	100035	234532
598	100214	234392
599	100374	234206
600	100575	234117
601	100758	233988
602	100942	233859
603	101136	233752
604	101314	233608
605	101521	233531
606	101671	233325
607	101851	233187
608	102028	233040
609	102226	232942
610	102420	232835
611	102601	232696
612	102776	232547
613	102926	232338
614	103104	232195
615	103313	232120
616	103473	231934
617	103641	231768
618	103821	231628
619	103999	231482
620	104169	231320
621	104334	231146
622	104531	231042
623	104740	230966
624	104917	230818
625	105074	230627
626	105272	230524
627	105486	230457
628	105700	230389
629	105924	230343
630	106163	230329
631	106380	230265
632	106610	230230
633	106796	230099
634	106970	229944
635	107157	229816
636	107327	229651
637	108426	231468
638	109069	232305
639	109638	232980
640	110156	233544
641	110517	233773
642	110927	234104
643	111308	234369
644	111710	234678
645	112167	235099
646	112897	236090
647	113381	236560
648	113855	237008
649	114354	237505
650	114765	237817
651	115193	238159
652	115619	238498
653	116015	238772
654	116462	239147
655	116833	239366
656	117285	239748
657	117743	240140
658	118112	240347
659	118588	240769
660	119059	241181
661	119427	241381
662	119789	241565
663	120289	242028
664	120477	241860
665	120652	241667
666	120828	241475
667	121002	241280
668	121164	241061
669	121320	240831
670	121513	240672
671	121673	240450
672	121822	240206
673	121968	239955
674	122140	239757
675	122338	239609
676	122506	239403
677	122682	239213
678	122845	238996
679	123012	238788
680	123194	238609
681	123374	238427
682	123535	238208
683	123744	238080
684	123930	237911
685	124080	237670
686	124274	237514
687	124435	237295
688	124628	237137
689	124814	236967
690	124970	236739
691	125171	236596
692	125327	236368
693	125505	236181
694	125682	235994
695	125855	235797
696	126032	235609
697	126203	235410
698	126375	235213
699	126520	234966
700	126711	234804
701	126872	234588
702	127023	234351
703	127204	234171
704	127378	233978
705	127557	233795
706	127743	233623
707	127910	233419
708	128066	233192
709	128240	233000
710	128418	232815
711	128595	232627
712	128754	232408
713	128933	232223
714	129095	232010
715	129247	231778
716	129439	231618
717	129598	231399
718	129795	231248
719	129949	231021
720	130116	230816
721	130315	230668
722	130497	230491
723	130692	230336
724	130881	230170
725	131046	229963
726	131231	229790
727	131406	229600
728	131583	229414
729	131762	229230
730	131927	229022
731	132110	228847
732	132268	228628
733	132459	228466
734	132621	228254
735	132795	228062
736	132951	227839
737	133117	227633
738	133270	227407
739	133452	227229
740	133626	227038
741	133806	226857
742	133976	226660
743	134142	226456
744	134294	226227
745	134455	226015
746	134635	225835
747	134802	225632
748	134991	225466
749	135160	225267
750	135358	225117
751	135519	224905
752	135690	224709
753	135861	224514
754	136043	224335
755	136228	224164
756	136417	223997
757	136616	223849
758	136779	223640
759	136964	223468
760	137127	223260
761	137292	223055
762	137457	222850
763	137646	222685
764	137811	222479
765	137992	222301
766	138155	222093
767	138304	221863
768	138453	221632
769	138600	221400
770	138746	221166
771	138918	220974
772	139068	220746
773	139214	220512
774	139388	220323
775	139546	220109
776	139713	219909
777	139874	219699
778	140069	219544
779	140226	219327
780	140404	219146
781	140567	218940
782	140756	218774
783	140927	218581
784	141105	218399
785	141302	218246
786	141481	218064
787	141644	217859
788	141828	217685
789	142002	217497
790	142165	217292
791	142336	217098
792	142508	216907
793	142667	216696
794	142835	216499
795	142983	216272
796	143162	216090
797	143301	215849
798	143501	215700
799	143692	215538
800	143857	215336
801	144043	215167
802	144219	214982
803	144367	214755
804	144547	214576
805	144734	214408
806	144928	214250
807	145114	214079
808	145283	213885
809	145446	213680
810	145600	213462
811	145749	213240
812	145918	213044
813	146091	212855
814	146256	212655
815	146406	212433
816	146587	212255
817	146729	212022
818	146893	211821
819	147071	211639
820	147240	211444
821	147392	211226
822	147571	211046
823	147719	210823
824	147874	210609
825	148054	210430
826	148216	210226
827	148392	210043
828	148548	209831
829	148734	209662
830	148913	209482
831	149061	209259
832	149216	209046
833	149363	208823
834	149528	208624
835	149678	208403
836	149863	208232
837	150024	208029
838	150192	207834
839	150345	207620
840	150518	207433
841	150681	207231
842	150834	207017
843	150994	206812
844	151163	206619
845	151308	206395
846	151483	206211
